REGION,DIVISION,STATE,NAME,ORIGIN,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009,CENSUS2010POP,POPESTIMATE2010
0,0,0,United States,0,281424600,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,308745538,309349689
0,0,0,United States,1,246118224,246500526,247824859,249007573,250058504,251303923,252492985,253773607,255034354,256300181,257444040,258267944,258539476
0,0,0,United States,2,35306376,35661885,37144096,38617620,40049429,41501375,43023614,44606305,46196853,47793785,49327489,50477594,50810213
3,6,01,Alabama,0,4447207,4452173,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4779736,4785298
3,6,01,Alabama,1,4371386,4375157,4381912,4385910,4400019,4417445,4444983,4491139,4522188,4554497,4581420,4594134,4598451
3,6,01,Alabama,2,75821,77016,85722,94179,103472,113284,124822,137842,150652,163709,176518,185602,186847
4,9,02,Alaska,0,626933,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,710231,713985
4,9,02,Alaska,1,601081,602000,605725,612394,616997,626407,632524,639797,644071,650199,660663,670982,674115
4,9,02,Alaska,2,25852,25963,27989,29943,31417,32879,34422,35505,36229,37256,38232,39249,39870
4,8,04,Arizona,0,5130247,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6392017,6413737
4,8,04,Arizona,1,3834631,3851197,3906561,3969818,4029456,4111398,4220738,4327178,4394036,4449496,4476334,4496868,4504823
4,8,04,Arizona,2,1295616,1309389,1366916,1426437,1480908,1541006,1618339,1701963,1773645,1830866,1866820,1895149,1908914
3,7,05,Arkansas,0,2673293,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2915918,2921606
3,7,05,Arkansas,1,2586431,2590784,2595045,2600233,2609192,2624583,2643949,2672178,2688253,2704323,2717804,2729868,2734131
3,7,05,Arkansas,2,86862,87804,96526,105694,115624,125103,137148,149583,160397,170231,179039,186050,187475
4,9,06,California,0,33871653,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37253956,37349363
4,9,06,California,1,22905106,22933424,23095496,23166048,23223144,23239009,23208112,23145097,23114006,23156344,23201362,23240237,23259948
4,9,06,California,2,10966547,11054553,11383962,11705795,12030015,12335567,12619831,12876105,13136305,13447993,13759867,14013719,14089415
4,8,08,Colorado,0,4302086,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5029196,5049071
4,8,08,Colorado,1,3566358,3581629,3642418,3673383,3686392,3710269,3739469,3797117,3849687,3904831,3956704,3990509,4001370
4,8,08,Colorado,2,735728,745292,783269,817023,842340,864744,892419,923306,954181,984899,1015491,1038687,1047701
1,1,09,Connecticut,0,3405650,3411777,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3574097,3577073
1,1,09,Connecticut,1,3085308,3087925,3094716,3105032,3115034,3113182,3110633,3104593,3097942,3098803,3096321,3095010,3095170
1,1,09,Connecticut,2,320342,323852,338119,353717,369302,382912,396323,412867,429328,446776,465486,479087,481903
